company_name,address,company_type,description
$699 TOP TECH WEBSITES,"4369 ADELINE STREET Emeryville, California 94608 United States",Information Technology,COMPUTER PROGRAMMING;
1 ACCORD SERVICES INC,"555 MILL ROAD West Seneca, New York 14224 United States",Business Services,1 ACCORD SERVICES INC
1 CALL BUILDING MAINTENANCE CORP,"946 ATLANTIC AVE BROOKLYN, New York 11238 United States",Business Services,1 CALL BUILDING MAINTENANCE CORP
1 Determined Sista Inc,"2115 Piedmont Road Atlanta, Georgia 30324 United States",Professional Services,"Virtual personal assistant; scheduling, handling calls, proofreading, event planning, social media management, networking, marketing"
"1 MADISON PROPERTIES, LLC","7006 COOLRIDGE DRIVE Temple Hills, Maryland 20748 United States",Real Estate & Insurance ,Madison Properties is a Property Preservation & Landscaping; Janitorial and Maid Service; Sales Cleaning; Snow Removal;
"1 PLUS ONE MANAGEMENT, INC.","2615 PACIFIC COAST HWAY, # 218 Hermosa Beach, California 90254 United States",Professional Services,ADVERTISING;
"1 SOURCE CONSULTING, INC.","7501 FORBES BOULEVARD, SUITE 101 SEABROOK, Maryland 20706 United States",Information Technology,"EES information technology professionals and management support management consulting, enterprise architecture and planning, cyber security, system de"
1 STOP TRUCKING,"8306 WILSHIRE BLVD., #1238 Beverly Hills, California 90211 United States",Transportation,TRUCKER;
1 WORLD DIGITAL INC,"588 BROADWAY, SUITE 504 New York, New York 10012 United States",Business Services,1 WORLD DIGITAL INC
1209 ENTERPRISE LLC,"28 EAST 29TH STREET, SUITE 2 New York, New York 10016 United States",Business Services,1209 ENTERPRISE LLC
121 TRANSGLOBAL,"22015 ROAN BLUFF San Antonio, Texas 78259 United States",Uncategorized,"Call Center Outsourcing or Internal, Back Office Processing, Information Communication Technology, Customer Relations, BPO, Fulfillment"
"1801 HOLDINGS, LLC","P.O. BOX 1561 Owings Mills, Maryland 21117 United States",Professional Services,"1801 HOLDINGS, LLC"
1820 PRODUCTIONS,"6301 RIVERSIDE DR BLDG 1 STE 2C Irving, Texas 75039-3531 United States",Uncategorized,"Television and film production company. Everthing from concept creations to production and post production including editing, graphics and animation."
1917 American Bistro,"19416 Livernois Detroit Detroit, Michigan 48221 United States",Food & Dining,"An attractive restaurant on the Avenue of Fashion, as Livernois has been known for generations, is exactly that. Well-prepared dishes."
